detector,accuracy,precision,recall,f1,specificity,f1_std,sybil_rate,seed,fit_time_s,attack_model
RSU Position Verification,0.9298,0.4256,0.8067,0.5572,0.9369,0.0,5,1000,6.88,split_position
TASER Bayesian Trust,1.0,1.0,1.0,1.0,1.0,0.0,5,1000,0.4,split_position
Random Forest,0.9981,0.998,0.969,0.983,0.9998,0.0158,5,1000,1.61,split_position
LSTM,0.9444,0.0,0.0,0.0,1.0,0.0,5,1000,9.16,split_position
Dynamic k-Means,0.9988,0.9783,1.0,0.989,0.9987,0.0,5,1000,0.05,split_position
IQR Speed Threshold,0.0552,0.0552,1.0,0.1046,0.0,0.0,10,1000,0.03,split_position
RSU Position Verification,0.9896,1.0,0.8124,0.8965,1.0,0.0,10,1000,7.14,split_position
TASER Bayesian Trust,1.0,1.0,1.0,1.0,1.0,0.0,10,1000,0.44,split_position
Random Forest,0.9976,0.9948,0.96,0.9755,0.9997,0.0462,10,1000,1.46,split_position
LSTM,0.9444,0.0,0.0,0.0,1.0,0.0,10,1000,9.88,split_position
Dynamic k-Means,0.9988,0.9784,1.0,0.9891,0.9987,0.0,10,1000,0.04,split_position
IQR Speed Threshold,0.1067,0.1067,1.0,0.1928,0.0,0.0,15,1000,0.03,split_position
RSU Position Verification,1.0,1.0,1.0,1.0,1.0,0.0,15,1000,7.01,split_position
TASER Bayesian Trust,1.0,1.0,1.0,1.0,1.0,0.0,15,1000,0.44,split_position
Random Forest,0.9944,0.9973,0.9447,0.967,0.9998,0.0632,15,1000,1.55,split_position
LSTM,0.5789,0.2,1.0,0.3333,0.5294,0.0,15,1000,8.95,split_position
Dynamic k-Means,0.9731,0.8516,0.9059,0.8779,0.9811,0.0,15,1000,0.04,split_position
IQR Speed Threshold,0.1988,0.1988,1.0,0.3317,0.0,0.0,20,1000,0.03,split_position
RSU Position Verification,0.9443,0.7812,1.0,0.8772,0.9305,0.0,20,1000,7.18,split_position
TASER Bayesian Trust,1.0,1.0,1.0,1.0,1.0,0.0,20,1000,0.5,split_position
Random Forest,0.9999,0.9995,1.0,0.9997,0.9999,0.0005,20,1000,1.63,split_position
LSTM,0.9048,0.75,0.75,0.75,0.9412,0.0,20,1000,8.91,split_position
Dynamic k-Means,0.957,0.9845,0.7963,0.8805,0.9969,0.0,20,1000,0.04,split_position
IQR Speed Threshold,0.2282,0.2282,1.0,0.3716,0.0,0.0,25,1000,0.04,split_position
RSU Position Verification,0.9806,0.9217,1.0,0.9592,0.9749,0.0,25,1000,7.33,split_position
TASER Bayesian Trust,1.0,1.0,1.0,1.0,1.0,0.0,25,1000,0.5,split_position
Random Forest,1.0,1.0,1.0,1.0,1.0,0.0,25,1000,1.54,split_position
LSTM,0.8182,0.6667,0.4,0.5,0.9412,0.0,25,1000,9.04,split_position
Dynamic k-Means,0.9797,0.9184,1.0,0.9574,0.9737,0.0,25,1000,0.05,split_position
IQR Speed Threshold,0.2834,0.2834,1.0,0.4416,0.0,0.0,30,1000,0.04,split_position
RSU Position Verification,0.8993,0.9365,0.6916,0.7956,0.9815,0.0,30,1000,9.07,split_position
